state_code,district_code,sub_district_code,level,area_name,noofvillages,total_population,male_population,female_population
00,000,00000,INDIA,INDIA,597608,833748852,427781058,405967794
01,000,00000,STATE,JAMMU & KASHMIR,6337,9108060,4774477,4333583
01,001,00000,DISTRICT,Kupwara,353,765625,412038,353587
01,001,00001,SUB-DISTRICT,Kupwara,118,465323,252856,212467
01,001,00002,SUB-DISTRICT,Handwara,196,255711,134503,121208
01,001,00003,SUB-DISTRICT,Karnah,39,44591,24679,19912
01,002,00000,DISTRICT,Badgam,462,655833,343385,312448
01,002,00004,SUB-DISTRICT,Khag,49,67596,34457,33139
01,002,00005,SUB-DISTRICT,Beerwah,102,149671,80103,69568
01,002,00006,SUB-DISTRICT,Khansahib,96,120682,62783,57899
01,002,00007,SUB-DISTRICT,Budgam,95,111056,57359,53697
01,002,00008,SUB-DISTRICT,Chadoora,104,164945,86218,78727
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,16,41883,22465,19418
01,003,00000,DISTRICT,Leh(Ladakh),111,87816,48411,39405
01,003,00010,SUB-DISTRICT,Leh,60,48290,26037,22253
01,003,00011,SUB-DISTRICT,Nubra,28,22433,13740,8693
01,003,00012,SUB-DISTRICT,Khalsi,23,17093,8634,8459
01,004,00000,DISTRICT,Kargil,125,124464,67703,56761
01,004,00013,SUB-DISTRICT,Kargil,64,70123,39349,30774
01,004,00014,SUB-DISTRICT,Sanku,36,40548,21346,19202
01,004,00015,SUB-DISTRICT,Zanskar,25,13793,7008,6785
01,005,00000,DISTRICT,Punch,170,438205,229774,208431
01,005,00016,SUB-DISTRICT,Haveli,49,105913,55475,50438
01,005,00017,SUB-DISTRICT,Mandi,37,77947,41365,36582
01,005,00018,SUB-DISTRICT,Mendhar,51,136333,70776,65557
01,005,00019,SUB-DISTRICT,Surankote,33,118012,62158,55854
01,006,00000,DISTRICT,Rajouri,375,590101,310748,279353
01,006,00020,SUB-DISTRICT,Thanamandi,32,62283,32373,29910
01,006,00021,SUB-DISTRICT,Darhal,11,36227,19121,17106
01,006,00022,SUB-DISTRICT,Rajauri,118,159581,84130,75451
01,006,00023,SUB-DISTRICT,Budhal,51,123050,64990,58060
01,006,00024,SUB-DISTRICT,Kalakote,68,72667,37864,34803
01,006,00025,SUB-DISTRICT,Nowshehra,52,79008,42417,36591
01,006,00026,SUB-DISTRICT,Sunderbani,43,57285,29853,27432
01,007,00000,DISTRICT,Kathua,496,526722,278126,248596
01,007,00027,SUB-DISTRICT,Billawar,65,145904,77072,68832
01,007,00028,SUB-DISTRICT,Bashohli,38,65377,34351,31026
01,007,00029,SUB-DISTRICT,Bani,33,45996,23889,22107
01,007,00030,SUB-DISTRICT,Kathua,163,139941,74698,65243
01,007,00031,SUB-DISTRICT,Hiranagar,197,129504,68116,61388
01,008,00000,DISTRICT,Baramula,509,825539,432399,393140
01,008,00032,SUB-DISTRICT,Sopore,57,148621,75856,72765
01,008,00033,SUB-DISTRICT,Rafiabad,77,85624,43789,41835
01,008,00034,SUB-DISTRICT,Pattan,94,209617,110686,98931
01,008,00035,SUB-DISTRICT,Baramulla,42,78215,40998,37217
01,008,00036,SUB-DISTRICT,Kreeri,50,66954,34447,32507
01,008,00037,SUB-DISTRICT,Uri,41,65501,35153,30348
01,008,00038,SUB-DISTRICT,Boniyar,52,72564,39566,32998
01,008,00039,SUB-DISTRICT,Tangmarg ,96,98443,51904,46539
01,009,00000,DISTRICT,Bandipore,119,326871,172263,154608
01,009,00040,SUB-DISTRICT,Gurez,28,37992,22978,15014
01,009,00041,SUB-DISTRICT,Bandipora,41,140657,72858,67799
01,009,00042,SUB-DISTRICT,Sonawari,50,148222,76427,71795
01,010,00000,DISTRICT,Srinagar,11,17313,8916,8397
01,010,00043,SUB-DISTRICT,Srinagar (North),8,10910,5725,5185
01,010,00044,SUB-DISTRICT,Srinagar (South),3,6403,3191,3212
01,011,00000,DISTRICT,Ganderbal,113,250407,133715,116692
01,011,00045,SUB-DISTRICT,Lar,42,80223,43281,36942
01,011,00046,SUB-DISTRICT,Kangan,42,120934,64723,56211
01,011,00047,SUB-DISTRICT,Ganderbal,29,49250,25711,23539
01,012,00000,DISTRICT,Pulwama,319,479978,248096,231882
01,012,00048,SUB-DISTRICT,Pampore,23,50033,26255,23778
01,012,00049,SUB-DISTRICT,Awantipora,43,73860,38169,35691
01,012,00050,SUB-DISTRICT,Tral,66,92352,47592,44760
01,012,00051,SUB-DISTRICT,Pulwama,187,263733,136080,127653
01,013,00000,DISTRICT,Shupiyan,226,249855,127161,122694
01,013,00052,SUB-DISTRICT,Shopian,226,249855,127161,122694
01,014,00000,DISTRICT,Anantnag,335,795805,411012,384793
01,014,00053,SUB-DISTRICT,Pahalgam,65,104101,53290,50811
01,014,00054,SUB-DISTRICT,Bijbehara,51,112197,56259,55938
01,014,00055,SUB-DISTRICT,Anantnag,82,179530,91832,87698
01,014,00056,SUB-DISTRICT,Shangus,25,66228,34917,31311
01,014,00057,SUB-DISTRICT,Kokernag,51,167159,87355,79804
01,014,00058,SUB-DISTRICT,Dooru,61,166590,87359,79231
01,015,00000,DISTRICT,Kulgam,226,343870,175574,168296
01,015,00059,SUB-DISTRICT,Kulgam,161,214925,109277,105648
01,015,00060,SUB-DISTRICT, Devsar,15,22128,11344,10784
01,015,00061,SUB-DISTRICT,Damhal Hanjipora,50,106817,54953,51864
01,016,00000,DISTRICT,Doda,402,377247,195430,181817
01,016,00062,SUB-DISTRICT,Doda,126,181111,93703,87408
01,016,00063,SUB-DISTRICT,Thathri,92,59955,31627,28328
01,016,00064,SUB-DISTRICT,Gandoh,66,71889,36754,35135
01,016,00065,SUB-DISTRICT,Bhaderwah,118,64292,33346,30946
01,017,00000,DISTRICT,Ramban,127,271902,142317,129585
01,017,00066,SUB-DISTRICT,Banihal,33,121145,62539,58606
01,017,00067,SUB-DISTRICT,Ramban,94,150757,79778,70979
01,018,00000,DISTRICT,Kishtwar,155,215831,111986,103845
01,018,00068,SUB-DISTRICT,Kishtwar,82,114624,59530,55094
01,018,00069,SUB-DISTRICT,Marwah,27,35572,18364,17208
01,018,00070,SUB-DISTRICT,Chhatroo,14,44087,22815,21272
01,018,00071,SUB-DISTRICT,Atholi (Paddar),32,21548,11277,10271
01,019,00000,DISTRICT,Udhampur,325,446777,232974,213803
01,019,00072,SUB-DISTRICT,Udhampur,149,177828,92989,84839
01,019,00073,SUB-DISTRICT,Chenani,46,60568,31380,29188
01,019,00074,SUB-DISTRICT,Ramnagar,88,160718,83518,77200
01,019,00075,SUB-DISTRICT,Majalta,42,47663,25087,22576
01,020,00000,DISTRICT,Reasi,253,287671,151481,136190
01,020,00076,SUB-DISTRICT,Gool-Gulabgarh,61,147843,78181,69662
01,020,00077,SUB-DISTRICT,Reasi,192,139828,73300,66528
01,021,00000,DISTRICT,Jammu,780,764945,401603,363342
01,021,00078,SUB-DISTRICT,Akhnoor,207,218825,114114,104711
01,021,00079,SUB-DISTRICT,Jammu,309,284890,150516,134374
01,021,00080,SUB-DISTRICT,Ranbir Singh Pora,163,169459,89097,80362
01,021,00081,SUB-DISTRICT,Bishnah,101,91771,47876,43895
01,022,00000,DISTRICT,Samba,345,265283,139365,125918
01,022,00082,SUB-DISTRICT,Samba,345,265283,139365,125918
02,000,00000,STATE,HIMACHAL PRADESH,17882,6176050,3110345,3065705
02,023,00000,DISTRICT,Chamba,1110,482972,241963,241009
02,023,00083,SUB-DISTRICT,Pangi,60,18868,9579,9289
02,023,00084,SUB-DISTRICT,Chaurah,181,78988,40152,38836
02,023,00085,SUB-DISTRICT,Saluni,132,47939,24197,23742
02,023,00086,SUB-DISTRICT,Bhalai,78,25326,12561,12765
02,023,00087,SUB-DISTRICT,Dalhousie,119,36160,17968,18192
02,023,00088,SUB-DISTRICT,Bhattiyat,123,37392,18535,18857
02,023,00089,SUB-DISTRICT,Sihunta,80,39871,19634,20237
02,023,00090,SUB-DISTRICT,Chamba,241,159320,79228,80092
02,023,00091,SUB-DISTRICT,Holi,46,14094,7236,6858
02,023,00092,SUB-DISTRICT,Brahmaur,50,25014,12873,12141
02,024,00000,DISTRICT,Kangra,3617,1423794,705365,718429
02,024,00093,SUB-DISTRICT,Nurpur,392,166718,84969,81749
02,024,00094,SUB-DISTRICT,Indora,112,76692,39901,36791
02,024,00095,SUB-DISTRICT,Fatehpur,223,62041,31105,30936
02,024,00096,SUB-DISTRICT,Jawali,195,112746,56022,56724
02,024,00097,SUB-DISTRICT,Harchakian,60,13841,6746,7095
02,024,00098,SUB-DISTRICT,Shahpur,152,67758,33220,34538
02,024,00099,SUB-DISTRICT,Dharmsala,151,93744,47329,46415
02,024,00100,SUB-DISTRICT,Kangra,161,88040,44302,43738
02,024,00101,SUB-DISTRICT,Nagrota Bagwan,157,70999,35346,35653
02,024,00102,SUB-DISTRICT,Baroh,161,25789,12403,13386
